,Time,Tweets,Tweeter,Likes
41,2021-05-22 10:54:43,"“Delay is not denial” “Painful exit but worth it” “11 years, 28semesters, 683hours, 422 exams: finally BSc”  Captions of students graduating from govt uni. Like an obituary.  Cos lecturer dey do crazy. They are sadists who think they may die in their sleep if their students pass.",DrOlufunmilayo,740
42,2021-05-22 10:44:18,If you teach a course and the vast majority of students fail woefully:  It does NOT mean you are a good lecturer. It does NOT mean they are lazy  students. It does NOT mean it is a tough course.  IF majority fail: It ONLY means you are a horrible lecturer who is poor at your job.,DrOlufunmilayo,985
43,2021-05-22 10:38:05,"Countless students graduating with first class from Covenant university- yet it doesn’t diminish the standard of the school. And it remains one of the best in the country.  But govt uni professors think: “A is for God, B is for VC, C is for me, Fight for the rest”  Cruel Sadists.",DrOlufunmilayo,8256
44,2021-05-22 10:17:44,"There’s a lot of first class graduates from Covenant University.  Just wait when people graduate from the Govt Universities- including my own.  You will see captions like: “11 years in Uniben, do am if e easy” “I came I saw I conquered”  Even though Na the university conquer am.",DrOlufunmilayo,5382
45,2021-05-21 21:56:24,Feb 2021: Seven die in Nigerian AirForce Abuja Plane crash.   April 2021: AirForce Alpha Jet crashed.   May 2021: Chief of Army staff and many others die in AirForce plane crash.   None of this is normal None of this is ok None of this is acceptable.  We need to be clear on that.,DrOlufunmilayo,1455
46,2021-05-21 21:45:59,"This crash is one mortal blow to our underbelly, at a time our Armed Forces are poised to end the security challenges facing the country. My condolences to the families of the deceased, the entire military, and all Nigerians. The deaths of these officers will not be in vain!",MBuhari,1796
47,2021-05-21 21:41:08,"Deeply saddened by the air crash that claimed the lives of the Chief of Army Staff, Lt. Gen. Ibrahim Attahiru, and other military officers. All of them are heroes who paid the ultimate price for peace and security in the land.",MBuhari,7174
48,2021-05-21 20:14:23,"We need to start asking what’s happening. The earlier we start doing so, the better we will be as a country.  The Vice President survived a crash. Recently some soldiers died in an air crash too.  Today our Chief of Army Staff has died also in a crash. This is not fair at all.",DrOlufunmilayo,1575
49,2021-05-21 19:51:25,The news of the death of Gen Ibrahim Attahiru is quite saddening and painful.  The Chief of Army Staff dying in the middle of an active insurgency dampens the morale of the Army and the whole country.  This is sad This is terrible news. May he RIP. And May God console his family.,DrOlufunmilayo,1310
50,2021-05-21 13:12:05,"First it was Danladi Umar Who referred to people in a mall as “Biafra Boys” in official govt document;  Now it is AGF Malami, Equating brutal killer herdsmen to spare parts business owners in the North;  One day this govt will explain why its many evil officials hate Igbo people.",DrOlufunmilayo,368
51,2021-05-21 11:35:16,"President Buhari has now approved a policy for the NCC agency under Isa Ali Pantami to obtain all Nigerians phone IMEI details.  This IMEI phone data can be used to spy on calls, track locations, block a phone, identify the device, and a whole lot more.  Congratulations Nigeria.",DrOlufunmilayo,575
52,2021-05-21 10:21:49,"So what’s the way forward then 1. Don’t masturbate.  But because Rilwan get coconut head; 2. IF you must masturbate, Please use a lotion. Or a lubricant.  Repeated dry masturbation can cause dry skin, cracked skin, bleeding penis, minor injuries that can make your life miserable.",DrOlufunmilayo,172
53,2021-05-21 10:18:26,"Those of you that every challenge on twitter, and every “TL Sleep” pics; you don jump inside bed to shukushuku shakashaka  You know yourselves o Adewale, Olugbenga, Chijioke, Owolabi, Abdullahi, Uche, Ifeanyi, Ikenna, Babatunde, Mohamed,  This is time to slow down. Use a lotion.",DrOlufunmilayo,198
54,2021-05-21 10:14:19,"So on a serious note: Repeated dry masturbation (masturbating with your hands and no lotion/lubricants) can cause dry cracked skin on your penis.  This dry skin can then crack, can bleed and can eventually make your penis very sensitive and the skin open to bacterial infections.",DrOlufunmilayo,212
55,2021-05-21 10:11:36,"Did you notice on your penis: Dry Skin, Peeling Skin, Cracked skin, Slight bleeding;  This may be due to repeated dry masturbation. E shock you abi?  Rilwan slow down on the shukushuku shakashaka o.  This message is for all men who apply the Speedy Darlington advice of self-care.",DrOlufunmilayo,933
56,2021-05-21 07:19:56,"GOOD NEWS: World Health Organisation has now confirmed “every existing approved Coronavirus vaccine works against ALL known variants of the virus. Including the Indian strain”  If you have had your vaccine, You have nothing to fear. If you haven’t, pls do.  Share this everywhere.",DrOlufunmilayo,493
57,2021-05-20 18:24:58,"And if it is an older child, Give that child strict instructions to NEVER follow a stranger anywhere.  And even if the person is known to the family, tell your child to only follow them IF you as a parent have told the child earlier they will come to pick them.  Please stay safe.",DrOlufunmilayo,176
58,2021-05-20 18:22:04,Dear parents/guardians; Kindly give very strict instructions on who is authorised to come pick up your child from school.  Tell the school that under NO circumstances should your child be released to anyone - outside the people you have authorised.  Pls this is not a joke.,DrOlufunmilayo,253
59,2021-05-20 18:18:02,This is Public Service Announcement:  There are reports that kidnappers now go to schools and pretend to be “family friend” or “relative” to steal children and sell off for rituals and gory killings.  Pls kindly give strict instructions to your child’s school.  Pass this on pls.,DrOlufunmilayo,1196
60,2021-05-20 17:21:10,"Every time I see #Yahayabello trend, I’m very convinced that Nigerians have not suffered enough.  We are the world poverty capital. Minimum wage 50£ for a full month work.  But IF human beings with a brain can be paid to trend Yahaya Bello, then the future of Nigeria is hopeless.",DrOlufunmilayo,498
61,2021-05-20 12:01:08,Someone compared spare parts business to open barbaric movement of cows invading farms and killing people.  Someone with a brain made this comparison. And this character is the custodian of law in Nigeria.  One day you people will realise everyone is not equal in this country.,DrOlufunmilayo,466
62,2021-05-20 11:50:34,"For Jimoh #EndSARS For Ifeoma #EndSARS For Ayomide #EndSARS For chijioke #EndSARS For Tina #EndSARS For Kolade #EndSARS For Joy #EndSARS For Richard #EndSARS For Ismailia #EndSARS  For everyone killed at Lekki Toll Gate, It is 7months today.  We will never forget you. Never ever.",DrOlufunmilayo,2033
63,2021-05-20 11:24:55,Sometimes I think the problem we have as a country is a deliberate refusal to apply commonsense and wilful commitment to stupidity.  Otherwise why will an AGF actually defend something this barbaric and ridiculous?  It makes no sense and it’s sad this is where we are as a people.,DrOlufunmilayo,173
64,2021-05-20 11:14:47,"Sensible Nigerians are simply saying if you want to herd cows, buy a land or rent a farm. Then use that land/farm for your cows.  The same way the spare parts seller cannot invade anybody’s private land/farm in the sale of his stuffs.  Why is this such a complex thing to grasp?",DrOlufunmilayo,279
65,2021-05-20 11:09:49,"When southerners go up north, They buy land, they rent shops, Then use it for business.  But when killer herdsmen, largely northerners, come down south; they invade farms with cows, attack farmers, murder people and kill innocent women and children.  Are we really One Nigeria?",DrOlufunmilayo,613
